,Symbol  ,Date  ,Expiry  ,Strike Price  ,Call Price,Underlying Value  ,Put Price
230,WIPRO,26-Dec-2023,28-Dec-2023,332.5,79.75,470.1,1.0
231,WIPRO,26-Dec-2023,28-Dec-2023,442.5,28.9,470.1,0.7
232,WIPRO,26-Dec-2023,28-Dec-2023,440.0,30.4,470.1,0.6
233,WIPRO,26-Dec-2023,28-Dec-2023,452.5,18.4,470.1,1.25
234,WIPRO,26-Dec-2023,28-Dec-2023,335.0,77.45,470.1,1.15
235,WIPRO,26-Dec-2023,28-Dec-2023,512.5,0.35,470.1,99.3
236,WIPRO,26-Dec-2023,28-Dec-2023,482.5,2.15,470.1,14.45
237,WIPRO,26-Dec-2023,28-Dec-2023,497.5,0.65,470.1,27.15
238,WIPRO,26-Dec-2023,28-Dec-2023,370.0,70.05,470.1,0.05
239,WIPRO,26-Dec-2023,28-Dec-2023,360.0,55.55,470.1,0.05
240,WIPRO,26-Dec-2023,28-Dec-2023,382.5,38.55,470.1,0.05
241,WIPRO,26-Dec-2023,28-Dec-2023,405.0,67.0,470.1,0.1
242,WIPRO,26-Dec-2023,28-Dec-2023,337.5,75.15,470.1,1.3
243,WIPRO,26-Dec-2023,28-Dec-2023,427.5,40.7,470.1,0.35
244,WIPRO,26-Dec-2023,28-Dec-2023,500.0,0.65,470.1,25.1
245,WIPRO,26-Dec-2023,28-Dec-2023,390.0,81.35,470.1,0.05
246,WIPRO,26-Dec-2023,28-Dec-2023,345.0,68.4,470.1,1.95
247,WIPRO,26-Dec-2023,28-Dec-2023,417.5,55.0,470.1,0.15
248,WIPRO,26-Dec-2023,28-Dec-2023,517.5,1.05,470.1,104.0
249,WIPRO,26-Dec-2023,28-Dec-2023,492.5,0.95,470.1,23.75
250,WIPRO,26-Dec-2023,28-Dec-2023,437.5,33.0,470.1,0.55
251,WIPRO,26-Dec-2023,28-Dec-2023,377.5,42.1,470.1,0.1
252,WIPRO,26-Dec-2023,28-Dec-2023,502.5,0.5,470.1,90.0
253,WIPRO,26-Dec-2023,28-Dec-2023,395.0,74.9,470.1,0.1
254,WIPRO,26-Dec-2023,28-Dec-2023,422.5,34.85,470.1,0.3
255,WIPRO,26-Dec-2023,28-Dec-2023,467.5,6.95,470.1,4.5
256,WIPRO,26-Dec-2023,28-Dec-2023,480.0,2.7,470.1,12.25
257,WIPRO,26-Dec-2023,28-Dec-2023,465.0,8.45,470.1,3.4
258,WIPRO,26-Dec-2023,28-Dec-2023,490.0,1.1,470.1,21.65
259,WIPRO,26-Dec-2023,28-Dec-2023,420.0,49.95,470.1,0.15
260,WIPRO,26-Dec-2023,28-Dec-2023,407.5,63.0,470.1,0.15
261,WIPRO,26-Dec-2023,28-Dec-2023,400.0,70.25,470.1,0.1
262,WIPRO,26-Dec-2023,28-Dec-2023,355.0,59.75,470.1,3.1
263,WIPRO,26-Dec-2023,28-Dec-2023,327.5,139.15,470.1,0.25
264,WIPRO,26-Dec-2023,28-Dec-2023,505.0,0.4,470.1,92.3
265,WIPRO,26-Dec-2023,28-Dec-2023,450.0,20.9,470.1,1.15
266,WIPRO,26-Dec-2023,28-Dec-2023,470.0,5.65,470.1,5.65
267,WIPRO,26-Dec-2023,28-Dec-2023,487.5,1.35,470.1,18.3
268,WIPRO,26-Dec-2023,28-Dec-2023,425.0,45.0,470.1,0.25
269,WIPRO,26-Dec-2023,28-Dec-2023,397.5,48.55,470.1,0.15
270,WIPRO,26-Dec-2023,28-Dec-2023,415.0,57.0,470.1,0.15
271,WIPRO,26-Dec-2023,28-Dec-2023,412.5,43.1,470.1,0.15
272,WIPRO,26-Dec-2023,28-Dec-2023,375.0,43.9,470.1,0.05
273,WIPRO,26-Dec-2023,28-Dec-2023,460.0,11.95,470.1,2.1
274,WIPRO,26-Dec-2023,28-Dec-2023,357.5,57.65,470.1,3.45
275,WIPRO,26-Dec-2023,28-Dec-2023,402.5,69.15,470.1,0.15
276,WIPRO,26-Dec-2023,28-Dec-2023,462.5,9.9,470.1,2.7
277,WIPRO,26-Dec-2023,28-Dec-2023,410.0,60.6,470.1,0.15
278,WIPRO,26-Dec-2023,28-Dec-2023,445.0,25.7,470.1,0.75
279,WIPRO,26-Dec-2023,28-Dec-2023,347.5,66.2,470.1,2.2
280,WIPRO,26-Dec-2023,28-Dec-2023,387.5,68.6,470.1,0.2
281,WIPRO,26-Dec-2023,28-Dec-2023,365.0,51.55,470.1,0.1
282,WIPRO,26-Dec-2023,28-Dec-2023,457.5,13.8,470.1,1.75
283,WIPRO,26-Dec-2023,28-Dec-2023,455.0,16.2,470.1,1.45
284,WIPRO,26-Dec-2023,28-Dec-2023,472.5,4.95,470.1,7.3
285,WIPRO,26-Dec-2023,28-Dec-2023,372.5,45.75,470.1,0.05
286,WIPRO,26-Dec-2023,28-Dec-2023,330.0,82.1,470.1,0.05
287,WIPRO,26-Dec-2023,28-Dec-2023,510.0,0.35,470.1,96.95
288,WIPRO,26-Dec-2023,28-Dec-2023,342.5,70.65,470.1,1.7
289,WIPRO,26-Dec-2023,28-Dec-2023,520.0,0.25,470.1,106.4
290,WIPRO,26-Dec-2023,28-Dec-2023,475.0,4.05,470.1,8.8
291,WIPRO,26-Dec-2023,28-Dec-2023,362.5,53.55,470.1,1.05
292,WIPRO,26-Dec-2023,28-Dec-2023,380.0,76.0,470.1,0.05
293,WIPRO,26-Dec-2023,28-Dec-2023,495.0,0.8,470.1,24.25
294,WIPRO,26-Dec-2023,28-Dec-2023,367.5,49.55,470.1,0.15
295,WIPRO,26-Dec-2023,28-Dec-2023,350.0,88.35,470.1,0.05
296,WIPRO,26-Dec-2023,28-Dec-2023,352.5,61.85,470.1,2.75
297,WIPRO,26-Dec-2023,28-Dec-2023,385.0,87.45,470.1,0.1
298,WIPRO,26-Dec-2023,28-Dec-2023,340.0,72.9,470.1,1.5
299,WIPRO,26-Dec-2023,28-Dec-2023,430.0,40.15,470.1,0.35
300,WIPRO,26-Dec-2023,28-Dec-2023,435.0,35.0,470.1,0.45
301,WIPRO,26-Dec-2023,25-Jan-2024,425.0,51.9,470.1,4.45
302,WIPRO,26-Dec-2023,25-Jan-2024,330.0,56.9,470.1,2.75
303,WIPRO,26-Dec-2023,25-Jan-2024,447.5,35.4,470.1,10.45
304,WIPRO,26-Dec-2023,25-Jan-2024,452.5,32.45,470.1,12.2
305,WIPRO,26-Dec-2023,25-Jan-2024,362.5,32.4,470.1,10.15
306,WIPRO,26-Dec-2023,25-Jan-2024,340.0,48.65,470.1,4.35
307,WIPRO,26-Dec-2023,25-Jan-2024,372.5,26.35,470.1,13.95
308,WIPRO,26-Dec-2023,25-Jan-2024,387.5,37.1,470.1,21.1
309,WIPRO,26-Dec-2023,25-Jan-2024,432.5,5.5,470.1,6.2
310,WIPRO,26-Dec-2023,25-Jan-2024,512.5,0.3,470.1,125.45
311,WIPRO,26-Dec-2023,25-Jan-2024,482.5,17.95,470.1,27.55
312,WIPRO,26-Dec-2023,25-Jan-2024,440.0,41.3,470.1,7.9
313,WIPRO,26-Dec-2023,25-Jan-2024,355.0,37.4,470.1,7.85
314,WIPRO,26-Dec-2023,25-Jan-2024,380.0,22.35,470.1,0.85
315,WIPRO,26-Dec-2023,25-Jan-2024,350.0,41.0,470.1,6.5
316,WIPRO,26-Dec-2023,25-Jan-2024,342.5,46.65,470.1,4.8
317,WIPRO,26-Dec-2023,25-Jan-2024,502.5,0.5,470.1,115.75
318,WIPRO,26-Dec-2023,25-Jan-2024,382.5,38.8,470.1,18.55
319,WIPRO,26-Dec-2023,25-Jan-2024,505.0,7.5,470.1,118.2
320,WIPRO,26-Dec-2023,25-Jan-2024,335.0,52.7,470.1,3.45
321,WIPRO,26-Dec-2023,25-Jan-2024,450.0,34.15,470.1,11.1
322,WIPRO,26-Dec-2023,25-Jan-2024,500.0,12.1,470.1,38.55
323,WIPRO,26-Dec-2023,25-Jan-2024,487.5,0.85,470.1,101.4
324,WIPRO,26-Dec-2023,25-Jan-2024,405.0,44.15,470.1,2.15
325,WIPRO,26-Dec-2023,25-Jan-2024,465.0,25.55,470.1,17.5
326,WIPRO,26-Dec-2023,25-Jan-2024,397.5,14.65,470.1,26.85
327,WIPRO,26-Dec-2023,25-Jan-2024,475.0,20.85,470.1,22.6
