RELIANCE.BO,HDFCBANK.BO,INFY.BO,ICICIBANK.BO,TCS.BO,KOTAKBANK.BO,HINDUNILVR.BO,BHARTIARTL.BO,LT.BO,SBIN.BO,ASHOKLEY.BO,BIOCON.BO,GLENMARK.BO,JSWSTEEL.BO,MRF.BO,PIDILITIND.BO,TORNTPHARMA.BO,UBL.BO,ZEEL.BO,PETRONET.BO,BSESN
1321.934937,1205.800415,714.330139,420.448059,2071.471436,1531.317017,1756.666016,343.487732,1538.547974,346.909241,89.71862,271.786346,550.168884,275.439758,55118.63672,1257.709229,763.097595,1346.894531,361.762817,223.397156,39714.2
1321.090576,1198.706665,717.788269,417.440979,2121.148926,1517.536621,1757.798462,345.370667,1538.251709,345.8302,88.278755,270.064117,540.559448,270.410919,55165.70703,1278.134766,764.614258,1334.2771,353.601624,227.355988,40267.62
1349.45459,1213.363647,725.386597,416.898743,2163.149658,1528.670776,1808.854004,349.879791,1539.584717,348.135437,91.108841,276.503754,541.450989,273.398346,55954.75391,1284.976318,748.664978,1325.087158,355.481171,225.744843,40083.54
1342.301392,1213.091797,715.69397,413.05365,2107.244629,1529.120239,1788.27417,350.276215,1550.149414,345.634033,92.350105,269.914368,535.407959,272.950256,57463.42188,1267.921875,749.203064,1330.302979,342.423279,227.263931,39529.72
1318.408081,1198.780884,718.859863,405.807068,2092.713379,1513.042969,1809.543213,350.623077,1497.325806,330.625641,90.711632,272.160767,532.287292,266.676666,55772.71094,1258.998169,743.454468,1307.204102,337.427643,217.91925,39615.9
1306.734619,1210.125854,720.223633,410.983185,2103.865479,1510.197144,1803.536743,353.5466,1494.116943,335.13797,89.371071,263.799255,523.916138,261.349121,55512.25781,1244.571289,746.21875,1300.597168,336.339478,219.208191,39784.52
1310.261475,1207.456421,734.10498,410.046539,2154.218262,1500.560791,1820.91626,359.195404,1512.827271,336.854614,89.917229,264.523071,528.027466,265.880035,55440.78516,1272.631714,740.861572,1326.478027,332.085785,219.714539,39950.46
1319.898315,1210.793213,735.322632,415.518433,2175.218994,1505.354004,1813.531128,359.839569,1505.422119,340.72934,90.562683,267.942566,522.727417,272.153595,56154.26172,1276.845825,751.233459,1335.171265,342.027588,223.94957,39756.81
1322.431641,1199.942505,734.445984,412.116974,2180.625977,1480.589355,1816.436035,356.569153,1490.118042,337.639404,88.626312,257.734009,518.814209,270.112183,55500.92969,1268.963135,757.789307,1345.155884,338.763123,220.312988,39741.36
1315.676025,1209.779785,723.487,414.088867,2172.70874,1503.306885,1815.549805,359.98819,1497.770142,339.699341,87.633301,255.986847,517.031006,273.049835,54710.63281,1239.266602,752.114136,1341.231567,348.556519,218.333557,39452.07
1308.373779,1204.41626,721.246521,412.018402,2174.687744,1471.702026,1796.988525,350.127563,1509.815918,337.296051,87.037491,248.498932,521.885254,270.361145,54602.51172,1232.920898,730.171509,1334.724121,333.17392,216.58432,38960.79
1273.154663,1197.174316,721.246521,408.567657,2168.21875,1457.272583,1788.569702,340.415558,1480.047119,331.312317,83.214401,245.403931,515.990784,258.660431,54579.80859,1231.433472,732.691162,1334.078369,334.410461,210.46196,39046.34
