RELIANCE.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,TCS.NS,KOTAKBANK.NS,HINDUNILVR.NS,BHARTIARTL.NS,LT.NS,SBIN.NS,ASHOKLEY.NS,BIOCON.NS,GLENMARK.NS,JSWSTEEL.NS,MRF.NS,PIDILITIND.NS,TORNTPHARM.NS,UBL.NS,ZEEL.NS,PETRONET.BO,NSE
1093.148926,1008.302795,649.881531,332.193542,1763.391113,1273.912109,1612.278687,269.260559,1147.829468,248.779617,73.083221,300.116638,563.055786,230.474899,54080.16406,1056.445679,830.76709,1314.087769,423.133301,168.724625,10789.85
1089.565186,1005.48053,635.1922,336.606445,1704.769531,1277.303589,1599.44043,270.284058,1160.557617,251.602844,73.083221,305.218933,565.055908,234.830994,53849.52734,1033.501953,830.696472,1316.189575,430.363098,167.981018,10791.65
1105.916382,1017.204529,649.574646,338.518738,1713.674927,1286.580811,1595.345093,275.000885,1177.389893,256.196594,74.698074,306.828888,572.666138,241.167038,54410.89063,1051.749146,833.240356,1329.58313,429.013489,165.828415,10880.10
1117.160522,1020.846924,643.216492,344.50061,1713.182373,1285.9823,1614.855591,275.80188,1184.353271,256.483673,74.882622,307.943451,572.56842,243.807053,54328.91016,1050.770752,833.02832,1328.898926,430.411224,168.450638,10835.30
1104.12439,1009.050598,644.531982,345.236115,1723.430176,1234.858398,1627.601807,279.31723,1180.894531,259.306915,75.528572,307.720551,578.568909,251.551163,54577.32422,1053.461426,831.70929,1336.231201,432.098175,168.607239,10806.65
1104.07959,1025.43042,662.02771,348.717377,1776.681885,1237.900635,1629.074219,282.34314,1176.744019,258.541321,76.820442,306.061035,578.568909,253.267212,54954.03125,1081.835449,850.600098,1326.992554,429.109863,170.916367,10792.50
1093.283325,1018.313965,651.153076,341.460663,1824.608154,1233.112427,1631.006836,280.74118,1167.520996,254.904587,76.866585,306.927917,574.42218,250.363174,55562.49609,1102.284302,853.685669,1303.773804,452.293304,173.616913,10863.50
1096.19519,1009.436707,644.795044,338.861908,1841.971069,1213.161743,1598.106079,284.924042,1184.906616,256.148712,78.296875,305.342773,569.348877,249.923111,56466.00391,1122.48877,854.133301,1305.82666,446.702271,174.360535,10987.45
1102.959717,1002.344482,643.961853,343.372864,1775.159912,1210.119019,1594.562866,283.055115,1192.515991,257.488556,79.81945,307.84436,582.032349,247.371155,56442.96484,1127.576416,848.880554,1313.647705,449.883392,175.025864,11053.00
1098.479858,1005.1427,650.626953,347.393555,1785.855347,1222.9375,1596.403564,273.799408,1206.904297,261.221039,79.911713,313.516327,584.471558,248.251129,56730.5,1119.455688,841.272522,1347.131836,468.825348,174.869339,11058.20
1108.872925,1016.601379,642.383362,356.21936,1779.322021,1237.401733,1587.154297,273.977417,1204.367676,264.570587,83.510513,310.544098,589.642578,256.259277,57260.91797,1117.64563,835.124756,1346.985229,466.993805,177.178482,11035.40
